loud,dance,valence,tempo,energy,live,key,acoustic,speech,type
-6.129,0.471,0.289,157.98,0.431,0.0854,5,0.329,0.0342,0
-4.407,0.658,0.662,97.976,0.678,0.361,1,0.303,0.058,0
-4.627,0.654,0.498,95.11,0.633,0.109,7,0.462,0.0932,0
-6.677,0.479,0.314,167.61,0.567,0.114,4,0.389,0.107,0
-4.54,0.706,0.761,120.04,0.861,0.244,11,0.261,0.0703,0
-3.586,0.834,0.881,127.06,0.81,0.021,10,0.304,0.0418,1
-5.414,0.883,0.595,128.078,0.817,0.11,0,0.601,0.235,0
-5.29,0.529,0.654,125.984,0.854,0.242,6,0.0178,0.0436,0
-7.494,0.469,0.158,75.108,0.335,0.0931,10,0.794,0.0291,0
-7.223,0.856,0.928,114.988,0.609,0.0344,0,0.00801,0.0824,1
-4.685,0.62,0.564,122.042,0.828,0.156,10,0.00557,0.0413,0
-5.281,0.795,0.815,110.015,0.616,0.349,1,0.417,0.06,0
-5.612,0.73,0.215,130.023,0.538,0.123,1,0.188,0.0319,0
-4.409,0.794,0.476,105.039,0.803,0.0364,9,0.0134,0.0377,1
-6.491,0.49,0.435,112.114,0.758,0.092,7,0.000671,0.0297,0
-4.091,0.596,0.525,85.979,0.73,0.325,9,0.24,0.151,0
-6.923,0.704,0.863,144.021,0.633,0.29,11,0.0214,0.241,0
-3.226,0.699,0.499,127.961,0.883,0.817,5,0.0288,0.219,0
-6.061,0.781,0.591,78.998,0.445,0.184,2,0.474,0.0295,1
-6.617,0.258,0.266,189.583,0.631,0.127,5,0.281,0.0541,1
-7.046,0.768,0.471,117.974,0.567,0.07,2,0.66,0.0312,0
-4.697,0.854,0.784,118.004,0.766,0.0793,9,0.0242,0.141,0
-1.698,0.616,0.902,95.036,0.989,0.172,9,0.166,0.0483,2
-5.303,0.566,0.437,128.945,0.664,0.116,4,0.634,0.0464,0
-6.469,0.763,0.828,101.95,0.812,0.0752,5,0.187,0.0792,0
-5.508,0.775,0.656,114.025,0.68,0.109,0,0.00906,0.0629,0
-8.118,0.845,0.793,125.02,0.567,0.0811,5,0.59,0.0956,0
-6.069,0.679,0.438,99.879,0.662,0.152,8,0.155,0.174,0
-8.1,0.762,0.403,121.026,0.608,0.12,5,0.283,0.0357,1
-3.081,0.723,0.274,98.007,0.809,0.565,7,0.00346,0.0625,1
-3.081,0.723,0.274,98.007,0.809,0.565,7,0.00346,0.0625,1
-3.737,0.693,0.729,102.052,0.919,0.0901,11,0.136,0.0651,0
-5.828,0.628,0.662,179.911,0.69,0.112,8,0.446,0.0511,1
-4.323,0.864,0.938,100.0,0.738,0.179,4,0.214,0.0309,2
-7.281,0.734,0.307,89.982,0.576,0.112,8,0.161,0.0599,0
-5.709,0.509,0.55,118.413,0.671,0.0452,1,0.304,0.0678,0
-5.65,0.579,0.321,205.903,0.268,0.12,2,0.868,0.0442,0
-6.431,0.414,0.18,84.082,0.419,0.11,0,0.55,0.0388,0
-4.998,0.421,0.499,130.075,0.791,0.146,9,0.0117,0.0496,0
-7.503,0.689,0.283,80.025,0.481,0.0649,10,0.369,0.0815,0
-5.707,0.594,0.238,76.892,0.299,0.116,10,0.931,0.0399,0
-5.707,0.594,0.238,76.892,0.299,0.116,10,0.931,0.0399,0
