"summerhit","song","lodness","tempo",""
"0","Mi música es tu voz","-5.892","80.618",""
"0","Mi música es tu voz","-5.892","80.618",""
"0","Sopa fría","-4.805","139.861",""
"0","Resurrección","-2.302","136.801",""
"0","Déjame verte","-4.86","129.891",""
"1","Hips Don't Lie","-5.892","100.024",""
"0","Da Ya Think I'm Sexy?","-1.112","179.436",""
"0","Tenía tanto que darte","-3.81","124.963",""
"0","Quit Playin' Games","-5.932","95.888",""
"0","Rehab","-2.974","71.515",""
"0","Cuatro mexicanos","-5.6","86.893",""
"0","Xanadu","-5.374","149.666",""
"0","7 Years","-5.829","119.992",""
"0","Wait Here","-11.471","128.007",""
"0","Llueve en mi corazón","-6.353","121.069",""
"0","Sin amor","-5.418","89.98",""
"0","How Deep Is Your Love","-4.373","122.003",""
"0","Monday, Monday","-11.183","110.553",""
"0","Paint It Black","-9.278","158.81",""
"0","Can't Stop This Thing We Started","-3.831","113.071",""
"0","Informer","-6.843","98.16",""
"0","Livin' on the Edge","-4.37","84.572",""
"0","Morenita","-4.045","125.94",""
"0","Me voy","-4.503","99.958",""
"0","En tu cruz me clavaste","-5.931","104.027",""
"0","Esta cobardía","-5.908","113.026",""
"0","Lady Writer","-5.684","102.24",""
"0","Are You Dreaming?","-7.789","77.787",""
"0","Lovers on the Sun","-2.505","124.915",""
"0","Abre tu mente","-4.007","124.014",""
"0","Hoy","-5.026","163.966",""
"0","Camarero","-5.407","131.679",""
"0","Pasarán","-5.294","155.131",""
"0","Soledad","-4.464","196.064",""
"0","Patience","-14.439","119.793",""
"0","Goodnight Girl","-15.849","179.495",""
"0","We Can't Stop","-5.794","80.003",""
"0","Breaking Bad","-5.334","143.989",""
"0","Yo no soy esa","-4.967","120.909",""
"0","La noche no es para mí","-4.46","166.927",""
"0","Zombie","-8.994","166.915",""
"0","Antes de que cuente diez","-5.014","151.012",""
"0","En mis sueños","-2.349","122.072",""
"0","One Love","-3.573","104.988",""
"0","Sex Bomb","-7.588","134.022",""
"0","Somos el futuro","-6.4","129.954",""
"0","Piensa en mí","-5.789","85.805",""
"0","Grace Kelly","-5.752","122.221",""
"0","Charly","-4.017","101.032",""
"0","Charly","-4.017","101.032",""
"0","Corazón de tiza","-14.584","98.777",""
"0","Learning to Fly","-9.935","116.74",""
"1","El canario","-8.54","95.03",""
"0","Lose Yourself","-4.554","171.388",""
"0","Down","-4.407","97.976",""
"0","Animals","-4.407","97.976",""
"0","Eterna melodía","-5.976","121.821",""
"0","Chiquilla","-3.559","166.835",""
"0","Grande","-7.112","91.922",""
"0","Sk8er Boi","-4.417","149.937",""
"0","Un tractor amarillo","-6.231","139.861",""
"0","Baby Jane","-8.56","123.229",""
"0","No puedo evitar (pensar en ti)","-6.38","115.811",""
"0","¿Por qué no ser amigos?","-2.752","169.961",""
"0","¿Por qué no ser amigos?","-2.752","169.961",""
"0","El hombre de negro","-6.917","107.956",""
"0","Something for the Pain","-4.309","102.282",""
"0","Wings","-3.571","92.959",""
"0","Moonlight Shadow","-8.359","128.594",""
"0","Hablando en plata","-5.105","149.523",""
"1","Oops!... I Did It Again","-5.444","95.053",""
"0","If I Were a Boy","-6.126","90.007",""
"0","Cryin'","-3.674","105.84",""
"1","Infinity 2008","-6.02","128.034",""
"0","Una fiesta especial","-7.595","136.806",""
"0","Cállate niña","-10.375","112.011",""
"0","One Dance","-5.886","103.989",""
"0","One Dance","-5.886","103.989",""
"0","One Dance","-5.886","103.989",""
"0","Felices los 4","-4.502","93.973",""
"0","Land Of 1000 Dances","-11.624","86.903",""
"0","Suite nupcial","-13.019","146.004",""
"0","Let's Get Loud","-4.81","130.993",""
"0","Estatua de sal","-5.753","129.996",""
"1","Tacata'","-5.915","126.951",""
"0","Secretos","-4.913","99.535",""
"0","Dame","-5.453","138.035",""
"0","Soldados del amor","-3.902","114.549",""
"0","Marvin Gaye","-5.281","110.015",""
"0","Te amaré","-7.348","94.983",""
"0","Lady, Lady","-7.348","94.983",""
"0","Crush","-6.321","138.785",""
"0","Rosa gris","-9.503","143.99",""
"0","Como ayer","-8.936","124",""
"0","Word Up","-4.439","116.045",""
"0","Save Tonight","-4.334","157.893",""
"0","Princesas","-3.551","131.884",""
"0","La La La (Brasil 2014)","-4.933","127.984",""
"0","Charla del pescado","-8.912","95.008",""
"0","What a Girl Wants","-6.833","142.137",""
"0","Go West","-5.859","120.72",""
"1","Fastlove","-7.522","104.444",""
"0","As long as you love me","-10.223","116.999",""
"0","Lucifer","-5.736","90.35",""
"0","La fiesta nacional","-7.745","150.74",""
"0","Blame","-4.078","128.017",""
"0","Moja mi corazón","-4.377","120.215",""
"0","Cisne cuello negro","-8.575","132.485",""
"0","El pistolero","-2.861","157.994",""
"0","Piel de terciopelo","-9.433","144.329",""
"0","A quién le importa","-7.248","132.029",""
"0","Toro mecánico","-10.792","138.077",""
"0","Frozen","-6.492","94.24",""
"0","You Could Be Mine","-5.674","150.847",""
"0","Ojalá llueva café","-8.951","115.327",""
"0","Malo","-2.627","95.015",""
"0","Malo","-2.627","95.015",""
"0","Another one Bites the Dust","-6.209","124.096",""
"0","Decídete","-4.811","135.606",""
"1","Mambo nº5","-7.164","174.014",""
"0","Someday, I'll Be Saturday Night","-5.442","126.537",""
"0","Take it Back","-6.342","113.196",""
"0","Jam","-4.736","180.073",""
"0","Quisiera decir tu nombre","-7.513","106.446",""
"0","La bicicleta","-3.959","179.991",""
"0","Ninna","-5.05","140.027",""
"0","Torero","-3.462","136.045",""
"0","Life Is a Rollercoaster","-8.921","118.959",""
"0","I Think I'm Paranoid","-4.124","95.031",""
