label,song,loud,dance,energy,tempo,variance,live
"0","Animals","-4.407","0.66","0.66","97.98","0.68","0.36"
"0","Marvin Gaye","-5.281","0.8","0.82","110.02","0.62","0.35"
"0","Hey Mama","-4.091","0.6","0.53","85.98","0.73","0.33"
"0","Sorry","-6.923","0.7","0.86","144.02","0.63","0.29"
"0","El mismo sol (Under the Same Sun)","-4.54","0.71","0.76","120.04","0.86","0.24"
"0","The Nights","-5.29","0.53","0.65","125.98","0.85","0.24"
"1","Thinking Out Loud","-6.061","0.78","0.59","79","0.45","0.18"
"2","Cheerleader","-4.323","0.86","0.94","100","0.74","0.18"
"2","La gozadera","-1.698","0.62","0.9","95.04","0.99","0.17"
"0","I Really Like You","-4.685","0.62","0.56","122.04","0.83","0.16"
"0","Stole the Show","-6.069","0.68","0.44","99.88","0.66","0.15"
"0","Elastic Heart","-4.998","0.42","0.5","130.08","0.79","0.15"
"1","Love Me Like You Do","-6.617","0.26","0.27","189.58","0.63","0.13"
"1","Love Me Like You Do","-6.617","0.26","0.27","189.58","0.63","0.13"
"0","Vuelve","-5.612","0.73","0.22","130.02","0.54","0.12"
"0","FourFiveSeconds","-5.65","0.58","0.32","205.9","0.27","0.12"
"1","Are You With Me?","-8.1","0.76","0.4","121.03","0.61","0.12"
"0","Take Me to Church","-5.303","0.57","0.44","128.95","0.66","0.12"
"0","Un zombie a la intemperie","-6.677","0.48","0.31","167.61","0.57","0.11"
"0","El perdón","-5.828","0.63","0.66","179.91","0.69","0.11"
"0","Outside","-7.281","0.73","0.31","89.98","0.58","0.11"
"0","I'm an Albatraoz","-5.414","0.88","0.6","128.08","0.82","0.11"
"0","Stay with Me","-6.431","0.41","0.18","84.08","0.42","0.11"
"0","Want to Want Me","-5.508","0.78","0.66","114.03","0.68","0.11"
"0","A que no me dejas","-4.627","0.65","0.5","95.11","0.63","0.11"
"0","People Help the People","-7.494","0.47","0.16","75.11","0.34","0.09"
"0","Heroes","-6.491","0.49","0.44","112.11","0.76","0.09"
"0","Tocado y hundido","-3.737","0.69","0.73","102.05","0.92","0.09"
"1","Hello","-6.129","0.47","0.29","157.98","0.43","0.09"
"0","Hello","-6.129","0.47","0.29","157.98","0.43","0.09"
"0","What Do You Mean?","-8.118","0.85","0.79","125.02","0.57","0.08"
"0","I Don't Like It I Love It","-4.697","0.85","0.78","118","0.77","0.08"
"0","Ginza","-6.469","0.76","0.83","101.95","0.81","0.08"
"0","Ain't Nobody (Loves Me Better)","-7.046","0.77","0.47","117.97","0.57","0.07"
"0","See You Again","-7.503","0.69","0.28","80.03","0.48","0.06"
"0","Locked Away","-5.709","0.51","0.55","118.41","0.67","0.05"
"0","Él no te da","-4.409","0.79","0.48","105.04","0.8","0.04"
